Name,Citations,Articles,Ranking
Orna Man,315,1,100
Jacques S Beckmann,315,1,100
Israel Silman,315,1,100
Joel L Sussman,315,1,100
Elias Zintzaras,130,1,1000
John P A Ioannidis,130,1,1000
Haiyan Hu,55,1,1000
Xifeng Yan,55,2,1000
Yu Huang,55,1,1000
Jiawei Han,55,2,1000
Xianghong Jasmine Zhou,55,1,1000
Wei Li,39,4,1000
Clifford A Meyer,39,4,1000
X Shirley Liu,39,7,1000
Asa Ben-Hur,110,2,1000
Debopriya Das,48,1,1000
Xiaowo Wang,89,9,1000
Jing Zhang,89,3,1000
Fei Li,89,1,1000
Jin Gu,89,7,1000
Tao He,89,1,1000
Xuegong Zhang,89,17,1000
S Gaudan,66,4,1000
H Kirsch,66,3,1000
Guido Sanguinetti,45,6,1000
Magnus Rattray,45,4,1000
S D Dunn,154,2,1000
L M Wahl,154,3,1000
Florian Markowetz,39,3,1000
Jacques Bloch,39,1,1000
Rainer Spang,39,4,1000
Remo Calabrese,190,3,1000
Magne Aldrin,77,2,1000
Pietro Liò,47,1,1000
Terence P Speed,70,9,1000
Zafer Barutcuoglu,55,2,1000
Robert E Schapire,55,2,1000
Rafael A Irizarry,143,5,1000
Annette Höglund,101,1,1000
Pierre Dönnes,101,1,1000
Torsten Blum,101,3,1000
Hans-Werner Adolph,101,1,1000
Oliver Kohlbacher,101,1,1000
Patricia L Whetzel,80,1,1000
Helen Parkinson,80,1,1000
Helen C Causton,80,1,1000
Liju Fan,80,1,1000
Jennifer Fostel,80,1,1000
Gilberto Fragoso,80,1,1000
Laurence Game,80,1,1000
Mervi Heiskanen,80,1,1000
Norman Morrison,80,1,1000
Philippe Rocca-Serra,80,1,1000
Susanna-Assunta Sansone,80,1,1000
Chris Taylor,80,1,1000
Joseph White,80,1,1000
Christian J Stoeckert,80,2,1000
Ulrike Mückstein,110,1,1000
Hakim Tafer,110,3,1000
Jörg Hackermüller,110,1,1000
Stephan H Bernhart,110,4,1000
Peter F Stadler,167,6,1000
Jochen Maydt,44,1,1000
Conrad Plake,47,2,1000
Torsten Schiemann,47,1,1000
Marcus Pankalla,47,1,1000
Jörg Hakenberg,47,3,1000
Ulf Leser,47,8,1000
Yiming Cheng,53,1,1000
Robert M Miura,53,1,1000
Bin Tian,53,1,1000
Sek Won Kong,56,1,1000
William T Pu,56,1,1000
Peter J Park,56,1,1000
N Morozova,42,1,1000
J Allers,42,1,1000
J Myers,42,1,1000
Y Shamoo,42,1,1000
Curtis Huttenhower,97,10,1000
Matt Hibbs,61,8,1000
Chad Myers,61,7,1000
Ivica Letunic,731,1,100
Jeongah Yoon,44,2,1000
Anselm Blumer,44,1,1000
Kyongbum Lee,44,2,1000
Paul Fearnhead,47,1,1000
Oliver Kohlbacher,68,18,1000
Knut Reinert,68,2,1000
Clemens Gröpl,68,2,1000
Eva Lange,68,2,1000
Nico Pfeifer,68,3,1000
Ole Schulz-Trieglaff,68,2,1000
Marc Sturm,68,4,1000
Miguel Arregui,66,2,1000
Mark Riethoven,66,1,1000
Peter Bühlmann,320,1,100
Elfar Torarinsson,54,3,1000
Jakob H Havgaard,54,5,1000
Jan Gorodkin,54,11,1000
Susmita Datta,52,18,1000
August E Woerner,52,1,1000
Murray P Cox,52,1,1000
Michael F Hammer,52,2,1000
Henna Järvenpää,50,1,1000
Matej Oresic,50,1,1000
Riitta Lahesmaa,50,1,1000
H M Bøvelstad,77,2,1000
S Nygård,77,3,1000
H L Størvold,77,1,1000
Ø Borgan,77,1,1000
Arnoldo Frigessi,77,4,1000
Matthew D Dyer,54,2,1000
T M Murali,54,10,1000
Matthew Suderman,66,1,1000
Jana Hertel,57,2,1000
Ivo L Hofacker,57,14,1000
Damien M de Vienne,39,1,1000
Tatiana Giraud,39,1,1000
Olivier C Martin,39,1,1000
Gregory B Gloor,154,2,1000
H Bengtsson,70,4,1000
Rafael A Irizarry,70,3,1000
B Carvalho,70,3,1000
Alexander Luedemann,149,1,1000
Katrin Strassburg,149,1,1000
Alexander Erban,149,1,1000
Joachim Kopka,149,1,1000
Fangxin Hong,97,1,1000
Rainer Breitling,97,1,1000
Gavin C Conant,104,1,1000
Kenneth H Wolfe,104,2,1000
Gregory E Jordan,61,1,1000
William H Piel,61,1,1000
Peter Krawitz,47,1,1000
Christian Rödelsperger,47,1,1000
Marten Jäger,47,1,1000
Luke Jostins,47,1,1000
Sebastian Bauer,47,4,1000
Peter N Robinson,47,4,1000
Ying He,70,1,1000
Kenny Billiau,70,1,1000
Paul A Jensen,72,2,1000
