Name,Citations,Articles,Ranking
Philip Halloran,48,2,1000
Yutaka Yasui,48,3,1000
Michael Schroeder,62,13,1000
Rachel Karchin,58,4,1000
Nurcan Tuncbag,41,1,1000
Gozde Kar,41,1,1000
Ozlem Keskin,41,1,1000
Attila Gursoy,41,1,1000
Ruth Nussinov,41,1,1000
M Scott Marshall,38,3,1000
Karthik Raman,75,1,1000
Nagasuma Chandra,75,1,1000
Jeffrey Skolnick,41,1,1000
Michal Brylinski,41,3,1000
Chad J Creighton,103,1,1000
Jeffrey G Reid,103,1,1000
Preethi H Gunaratne,103,1,1000
Iakes Ezkurdia,49,1,1000
Lisa Bartoli,49,1,1000
Alfonso Valencia,49,8,1000
Michael L Tress,49,2,1000
Erick Antezana,43,1,1000
Martin Kuiper,43,1,1000
Vladimir Mironov,43,1,1000
Mihai Pop,102,6,1000
Wei-Po Lee,52,3,1000
Wen-Shyong Tzou,52,1,1000
Laura L Elo,65,5,1000
Anne-Laure Boulesteix,59,2,1000
Martin Slawski,45,1,1000
Peter D Karp,271,32,100
Suzanne M Paley,192,8,1000
Markus Krummenacker,192,5,1000
Mario Latendresse,192,7,1000
Joseph M Dale,192,3,1000
Thomas J Lee,192,3,1000
Pallavi Kaipa,192,1,1000
Fred Gilham,192,1,1000
Aaron Spaulding,192,1,1000
Liviu Popescu,192,2,1000
Tomer Altman,192,2,1000
Ian Paulsen,192,2,1000
Ingrid M Keseler,192,2,1000
Ron Caspi,192,2,1000
Tero Aittokallio,86,2,1000
Zsuzsanna Dosztányi,38,1,1000
Bálint Mészáros,38,1,1000
Jing Zhao,64,1,1000
Peng Jiang,64,1,1000
Weidong Zhang,64,1,1000
Teresa M Przytycka,68,2,1000
Mona Singh,68,1,1000
Donna K Slonim,68,1,1000
Heng Li,216,3,1000
Nils Homer,216,1,1000
Daniel C Koboldt,53,2,1000
Li Ding,53,2,1000
Elaine R Mardis,53,2,1000
Richard K Wilson,53,2,1000
Konrad Paszkiewicz,50,1,1000
David J Studholme,50,1,1000
Xinbin Dai,44,2,1000
Zhaohong Zhuang,44,1,1000
Patrick Xuechun Zhao,44,5,1000
Edward R Dougherty,95,30,1000
Jelle J Goeman,332,4,100
Christian Ledergerber,42,1,1000
Christophe Dessimoz,42,3,1000
Léon-Charles Tranchevent,65,1,1000
Francisco Bonachela Capdevila,65,1,1000
Daniela Nitsch,65,1,1000
Bart De Moor,65,1,1000
Patrick De Causmaecker,65,1,1000
Yves Moreau,65,1,1000
Melissa J Hubisz,112,3,1000
Katherine S Pollard,112,1,1000
Adam Siepel,112,1,1000
Richard M Simon,50,12,1000
Jyothi Subramanian,50,1,1000
Ming-Chung Li,50,2,1000
Supriya Menezes,50,1,1000
Christophe Dessimoz,45,3,1000
Kristel Van Steen,59,1,1000
Michael Schroeder,48,3,1000
Helen E Lockstone,43,1,1000
Zhide Fang,72,4,1000
Xiangqin Cui,72,1,1000
Divya Sardana,40,1,1000
Cheng Zhu,40,1,1000
Minlu Zhang,40,1,1000
Ranga C Gudivada,40,2,1000
Lun Yang,40,1,1000
Anil G Jegga,40,1,1000
Yijun Sun,55,2,1000
Yunpeng Cai,55,1,1000
Susan M Huse,55,1,1000
Rob Knight,55,1,1000
William G Farmerie,55,2,1000
Xiaoyu Wang,55,2,1000
Volker Mai,55,3,1000
David M Kristensen,84,2,1000
Yuri I Wolf,84,6,1000
Arcady R Mushegian,84,1,1000
Joel T Dudley,111,1,1000
Tarangini Deshpande,111,1,1000
Atul J Butte,111,1,1000
Christos Andronis,40,1,1000
Anuj Sharma,40,1,1000
Vassilis Virvilis,40,1,1000
Spyros Deftereos,40,1,1000
Aris Persidis,40,1,1000
Pascale Gaudet,79,1,1000
Michael S Livstone,79,1,1000
Suzanna E Lewis,79,1,1000
Paul D Thomas,79,1,1000
Jui-Hung Hung,70,1,1000
Tun-Hsiang Yang,70,1,1000
Zhenjun Hu,70,1,1000
Zhiping Weng,81,8,1000
Charles DeLisi,70,1,1000
Xia Li,45,25,1000
Jean-Philippe Doyon,43,1,1000
Vincent Ranwez,43,2,1000
Vincent Daubin,43,1,1000
Vincent Berry,43,1,1000
Pietro H Guzzi,47,2,1000
Marco Mina,47,1,1000
Concettina Guerra,47,1,1000
Mario Cannataro,47,1,1000
Martin Krzywinski,54,1,1000
Inanc Birol,54,1,1000
Steven J M Jones,54,1,1000
Marco A Marra,54,1,1000
Emily J Richardson,44,1,1000
Mick Watson,44,5,1000
Oscar Westesson,40,3,1000
Mitchell Skinner,40,1,1000
Ian Holmes,43,11,1000
Iain Milne,250,1,100
Gordon Stephen,250,1,100
Micha Bayer,250,1,100
Peter J A Cock,250,2,100
Leighton Pritchard,250,2,100
Linda Cardle,250,1,1000
Paul D Shaw,250,1,1000
David Marshall,250,1,1000
Xiao Yang,67,1,1000
Sriram P Chockalingam,67,1,1000
Srinivas Aluru,67,1,1000
Helga Thorvaldsdóttir,1980,1,10
James T Robinson,1980,2,10
Jill P Mesirov,1980,1,10
Ander Muniategui,51,1,1000
Jon Pey,51,7,1000
Francisco J Planes,51,9,1000
Angel Rubio,51,6,1000
Tulika Prakash,42,1,1000
Todd D Taylor,42,1,1000
Weizhong Li,68,7,1000
Limin Fu,68,5,1000
Beifang Niu,68,6,1000
Sitao Wu,68,4,1000
John Wooley,68,2,1000
Wouter G Touw,73,1,1000
Jumamurat R Bayjanov,73,1,1000
Lex Overmars,73,1,1000
Lennart Backus,73,1,1000
Jos Boekhorst,73,1,1000
Michiel Wels,73,1,1000
Sacha A F T van Hijum,73,1,1000
Cosmin Lazar,70,3,1000
Stijn Meganck,70,3,1000
Jonatan Taminau,70,3,1000
David Steenhoff,70,3,1000
Alain Coletta,70,3,1000
Colin Molter,70,3,1000
David Y Weiss-Solís,70,1,1000
Robin Duque,70,3,1000
Hugues Bersini,70,3,1000
Ann Nowé,70,4,1000
Robert M Kuhn,163,3,1000
David Haussler,230,17,1000
W James Kent,163,7,1000
Sharmila S Mande,48,1,1000
Monzoorul Haque Mohammed,48,4,1000
Tarini Shankar Ghosh,48,5,1000
Hanno Teeling,56,1,1000
Frank Oliver Glöckner,56,2,1000
Marie-Agnès Dillies,359,1,100
Andrea Rau,359,1,100
Julie Aubert,359,1,100
Christelle Hennequet-Antier,359,1,100
Marine Jeanmougin,359,1,100
Nicolas Servant,359,1,100
Céline Keime,359,1,100
Guillemette Marot,359,1,100
David Castel,359,1,100
Jordi Estelle,359,1,100
Gregory Guernec,359,1,100
Bernd Jagla,359,1,100
Luc Jouneau,359,1,100
Denis Laloë,359,1,100
Caroline Le Gall,359,1,100
Santo Motta,40,8,1000
Francesco Pappalardo,40,6,1000
Bing Liu,55,1,1000
Jiuyong Li,55,1,1000
Murray J Cairns,55,3,1000
Stephan Pabinger,168,2,1000
Andreas Dander,168,1,1000
Maria Fischer,168,1,1000
Rene Snajder,168,2,1000
Michael Sperk,168,1,1000
Mirjana Efremova,168,1,1000
Birgit Krabichler,168,1,1000
Michael R Speicher,168,1,1000
Johannes Zschocke,168,1,1000
Zlatko Trajanoski,168,4,1000
Lincoln D Stein,53,5,1000
Quan Zou,55,1,1000
Xu-Bin Li,55,1,1000
Wen-Rui Jiang,55,1,1000
Zi-Yu Lin,55,1,1000
Gui-Lin Li,55,1,1000
Ke Chen,55,1,1000
Henryk Maciejewski,40,1,1000
Stanley J F Laulederkind,41,2,1000
G Thomas Hayman,41,2,1000
Shur-Jen Wang,41,2,1000
Jennifer R Smith,41,2,1000
Timothy F Lowry,41,2,1000
Rajni Nigam,41,2,1000
Victoria Petri,41,2,1000
Jeff de Pons,41,2,1000
Melinda R Dwinell,41,2,1000
Mary Shimoyama,41,2,1000
Diane H Munzenmaier,41,2,1000
Elizabeth A Worthey,41,1,1000
Howard J Jacob,41,3,1000
Chao Huang,39,1,1000
Chunli Zheng,39,1,1000
Yan Li,39,1,1000
Yonghua Wang,39,1,1000
Aiping Lu,39,1,1000
Ling Yang,39,1,1000
Juan Liu,42,10,1000
Fang-Xiang Wu,59,18,1000
Hao Ding,39,1,1000
Ichigaku Takigawa,39,1,1000
Hiroshi Mamitsuka,39,1,1000
Shanfeng Zhu,39,1,1000
Sarah Dedeurwaerder,59,1,1000
Matthieu Defrance,59,1,1000
Martin Bizet,59,1,1000
Emilie Calonne,59,1,1000
Gianluca Bontempi,59,1,1000
François Fuks,59,1,1000
Yan Guo,46,2,1000
Fei Ye,46,1,1000
Quanghu Sheng,46,1,1000
Travis Clark,46,1,1000
David C Samuels,46,1,1000
Fatemeh Seyednasrollah,107,1,1000
Asta Laiho,107,1,1000
Laura L Elo,107,1,1000
Hong-Mei Zhang,46,1,1000
Shuzhen Kuang,46,1,1000
Xushen Xiong,46,1,1000
Tianliuyun Gao,46,1,1000
Chenglin Liu,46,1,1000
An-Yuan Guo,46,1,1000
Qing Zhao,42,1,1000
Xingjie Shi,42,2,1000
Yang Xie,42,1,1000
Jian Huang,42,1,1000
BenChang Shia,42,1,1000
Shuangge Ma,56,3,1000
Junwen Wang,52,3,1000
Jiuyong Li,46,2,1000
Wei Ma,39,1,1000
Pan Zeng,39,1,1000
Bin Geng,39,1,1000
Jichun Yang,39,1,1000
Qinghua Cui,39,1,1000
Jiao Li,81,1,1000
Si Zheng,81,1,1000
Bin Chen,81,1,1000
Atul J Butte,81,1,1000
S Joshua Swamidass,81,1,1000
Zhiyong Lu,141,3,1000
David Laehnemann,58,1,1000
Arndt Borkhardt,58,1,1000
Alice Carolyn McHardy,58,1,1000
Xiangxiang Zeng,112,1,1000
Xuan Zhang,268,3,100
Quan Zou,112,1,1000
Francesco Marabita,58,1,1000
Paola de Candia,58,1,1000
Anna Torri,58,1,1000
Jesper Tegnér,58,1,1000
Sergio Abrignani,58,1,1000
Riccardo L Rossi,58,1,1000
Xiangqi Chen,105,2,1000
Chenggang Clarence Yan,78,1,1000
Feng Dai,78,1,1000
Jian Yin,78,1,1000
Yongdong Zhang,78,1,1000
Mario Latendresse,58,1,1000
Suzanne M Paley,58,1,1000
Markus Krummenacker,58,1,1000
Quang D Ong,58,1,1000
Richard Billington,58,1,1000
Anamika Kothari,58,1,1000
Daniel Weaver,58,1,1000
Thomas Lee,58,1,1000
Pallavi Subhraveti,58,1,1000
Aaron Spaulding,58,1,1000
Carol Fulcher,58,1,1000
Ingrid M Keseler,58,1,1000
Ron Caspi,58,1,1000
Jeremy Leipzig,39,2,1000
Lin Liu,55,15,1000
Xing Chen,126,1,1000
Chenggang Clarence Yan,126,1,1000
Xu Zhang,126,2,1000
Zhu-Hong You,126,1,1000
Tyler Weirick,46,2,1000
David John,46,2,1000
Stefanie Dimmeler,46,2,1000
Shizuka Uchida,46,2,1000
Jianxin Wang,59,9,1000
Seonwoo Min,73,1,1000
Byunghan Lee,73,1,1000
Sungroh Yoon,73,1,1000
Sipko van Dam,55,1,1000
Urmo Võsa,55,1,1000
Adriaan van der Graaf,55,1,1000
Lude Franke,55,2,1000
João Pedro de Magalhães,55,5,1000
Sorin Draghici,50,13,1000
Riccardo Miotto,56,1,1000
Fei Wang,56,1,1000
Shuang Wang,56,1,1000
Xiaoqian Jiang,56,1,1000
Joel T Dudley,56,1,1000
Kazutaka Katoh,206,1,1000
John Rozewicki,206,1,1000
Kazunori D Yamada,206,1,1000
Xing Chen,85,14,1000
Di Xie,62,2,1000
Qi Zhao,62,2,1000
Zhu-Hong You,62,1,1000
Fiona S L Brinkman,273,11,100
Michael Hucka,836,6,100
Dan-Yu Lin,76,4,1000
J Hein,108,2,1000
T Lengauer,89,7,1000
R F Lascaris,41,1,1000
W H Mager,41,1,1000
R J Planta,41,1,1000
J Prilusky,315,5,100
D Mouchiroud,57,2,1000
B Knudsen,99,2,1000
Michael Q Zhang,48,12,1000
S Brunak,85,2,1000
G R Abecasis,174,2,1000
W O Cookson,174,2,1000
István Simon,88,13,1000
C Combet,98,3,1000
C Geourjon,98,2,1000
G Deléage,98,3,1000
L J Jensen,85,4,1000
S J Wheelan,59,1,1000
A Marchler-Bauer,59,4,1000
S H Bryant,59,12,1000
P Dhaeseleer,184,1,1000
S Liang,184,1,1000
R Somogyi,184,1,1000
A Zien,83,4,1000
N Cristianini,100,2,1000
V J Promponas,52,2,1000
A J Enright,52,1,1000
S Tsoka,52,1,1000
D P Kreil,52,1,1000
C Leroy,52,1,1000
S Hamodrakas,52,13,1000
C Sander,52,1,1000
C A Ouzounis,52,1,1000
M Li,49,6,1000
J H Badger,44,1,1000
X Chen,44,1,1000
S Kwong,44,1,1000
P Kearney,44,1,1000
H Zhang,44,1,1000
T Ono,63,1,1000
H Hishigaki,63,1,1000
A Tanigami,63,1,1000
T Takagi,63,1,1000
P Adorján,91,3,1000
C Piepenbrock,91,3,1000
E Segal,66,3,1000
D Koller,66,4,1000
A Tanay,134,4,1000
R Shamir,134,7,1000
J Pei,162,3,1000
N V Grishin,199,25,1000
S Hua,166,1,1000
Z Sun,166,8,1000
S S Cherny,174,1,1000
L R Cardon,216,3,1000
L Goodstadt,59,3,1000
Chris P Ponting,59,9,1000
G E Tusnády,88,8,1000
V A Eyrich,47,1,1000
M A Martí-Renom,47,1,1000
D Przybylski,47,2,1000
M S Madhusudhan,47,1,1000
A Fiser,47,1,1000
F Pazos,47,1,1000
A Valencia,47,1,1000
A Sali,47,1,1000
B Rost,49,14,1000
I B Jakobsen,924,1,100
H Shimodaira,551,1,100
M Hasegawa,567,2,100
Rachel Karchin,67,5,1000
Kevin Karplus,67,2,1000
Martin Jambon,98,1,1000
Shigeki Mitaku,44,1,1000
Takatsugu Hirokawa,44,1,1000
Toshiyuki Tsuji,44,1,1000
Loïc Ponger,57,1,1000
Roded Sharan,134,3,1000
Daniel Hanisch,49,3,1000
R Zimmer,49,5,1000
V Anne Smith,139,3,1000
Erich D Jarvis,139,3,1000
Alexander J Hartemink,139,3,1000
Jean-Philippe Vert,68,7,1000
Gregory Stephanopoulos,52,6,1000
Lorraine Tanabe,69,2,1000
W John Wilbur,69,2,1000
Jaap Heringa,68,2,1000
Kuang Lin,68,2,1000
William R Taylor,68,4,1000
Yves Van de Peer,83,14,1000
David Botstein,685,2,100
Carlo Colantuoni,44,1,1000
George Henry,44,1,1000
Scott Zeger,44,1,1000
Jonathan Pevsner,44,2,1000
Xiayi Ke,42,2,1000
Chad Creighton,40,1,1000
Samir Hanash,40,2,1000
Kyeong Eun Lee,46,1,1000
Naijun Sha,46,1,1000
Marina Vannucci,46,6,1000
Hongwu Ma,39,4,1000
An-Ping Zeng,39,6,1000
Michael J Sanderson,346,2,100
Eugene M McCarthy,125,1,1000
John F McDonald,125,1,1000
Nickolai Alexandrov,48,2,1000
Ilya Shindyalov,48,1,1000
Akihiko Konagaya,57,5,1000
Yihui Luan,72,3,1000
Hongzhe Li,72,6,1000
Susana Vinga,153,2,1000
Jonas Almeida,153,10,1000
A Finney,833,2,100
H M Sauro,833,1,100
H Bolouri,833,2,100
J C Doyle,833,2,100
H Kitano,833,1,100
A P Arkin,833,1,100
B J Bornstein,833,2,100
D Bray,833,1,100
A Cornish-Bowden,833,1,100
A A Cuellar,833,1,100
S Dronov,833,1,100
E D Gilles,833,1,100
M Ginkel,833,1,100
V Gor,833,1,100
I I Goryanin,833,1,100
W J Hedley,833,1,100
T C Hodgman,833,1,100
J-H Hofmeyr,833,1,100
Elisabeth R M Tillier,48,4,1000
Thomas W H Lui,48,1,1000
Zsuzsanna Dosztányi,88,7,1000
David R Westhead,46,13,1000
E Halperin,67,4,1000
J-D Kim,132,1,1000
T Ohta,132,1,1000
Y Tateisi,132,1,1000
J Tsujii,132,1,1000
Tom Oinn,158,2,1000
Alexander Schliep,48,3,1000
Alexander Schönhuth,48,1,1000
Christine Steinhoff,48,2,1000
H Wang,66,2,1000
Roded Sharan,48,2,1000
Ivan Ovcharenko,48,1,1000
Asa Ben-Hur,48,1,1000
Richard M Karp,48,1,1000
Saurabh Sinha,100,3,1000
Erik van Nimwegen,100,2,1000
Eric D Siggia,100,6,1000
Y Yamanishi,43,11,1000
M Kanehisa,64,26,1000
Dilip Rajagopalan,41,3,1000
Peter Stoehr,66,2,1000
Mario Stanke,377,2,100
Stephan Waack,377,3,100
Shawn M Gomez,49,1,1000
William Stafford Noble,49,1,1000
Andrey Rzhetsky,49,1,1000
Peer Bork,731,7,100
Jiang Qian,40,1,1000
Jimmy Lin,40,1,1000
Nicholas M Luscombe,40,1,1000
Haiyuan Yu,40,1,1000
Mark Gerstein,40,1,1000
V G Krishnan,46,1,1000
Yanda Li,89,12,1000
Jelle J Goeman,380,4,100
Sara A van de Geer,380,1,100
